lex,english,german,italian,spanish,portuguese
argument,for_this_purpose,zu_diesem_zweck,a_questo_scopo,con_este_propósito,para_tanto
argument,on_the_contrary,im_gegenteil,al_contrario,por_el_contrario,pelo_contrário
argument,in_turn,wiederum,a_sua_volta,uno_por_uno,por_sua_vez
argument,but,aber,ma,sin_embargo,porém
argument,since,da,poiché,puesto_que,posto_que
argument,yet,dennoch,eppure,sin_embargo,todavia
modalization,think,denken,riflettere,creer,achar
modalization,advise,beraten,consigliare,aconsejar,aconselhar
modalization,believe,glauben,pensare,creer,acreditar
modalization,apparent,offensichtlich,apparente,obvio,aparente
modalization,basic,grundlegend,elementare,elemental,básico
modalization,suffice,ausreichen,basti,bastar,bastar
modalization,right,rechts,destro,reparar,certo
modalization,clear-cut,klar_umrissen,chiara,claro,claro
modalization,convenient,praktisch,agevole,cómodo,conveniente
modalization,believe,glauben,pensare,creer,crer
modalization,duty,pflicht,mansione,aranceles,dever
modalization,difficult,schwierig,impegnativa,dificultoso,difícil
modalization,doubt,zweifel,dubbio,dudar,dúvida
modalization,effective,effektiv,effettivo,efectivo,efetivo
modalization,expect,erwarten,aspettarsi,creer,esperar
modalization,evident,offensichtlich,ovvia,incuestionable,evidente
modalization,exact,genau,puntuale,exactos,exato
modalization,optional,optional,facoltative,optativo,facultativo
modalization,speak,sprechen,parlare,hablar,falar
modalization,suit,klage,andare_bene,adecuarse,fato
modalization,fundamental,grundlegend,fondamentale,primordial,fundamental
modalization,imagine,sich_einbilden,immaginarsi,creer,imaginar
modalization,important,wichtig,importante,significativo,importante
modalization,undoubted,zweifellos,indiscussa,indudable,indubitável
modalization,undeniable,unbestreitbar,incontrovertibile,incontestable,inegável
modalization,fair,fair,leale,bueno,justo
modalization,limit,limit,soglia,tope,limitar
modalization,logical,logisch,logico,lógicos,lógico
modalization,natural,natuerlich,naturalistico,innato,natural
modalization,necessary,notwendig,necessario,imprescindible,necessário
modalization,deny,leugnen,negare,renegar,negar
modalization,mandatory,obligatorisch,inderogabile,imperativo,obrigatório
modalization,obvious,offensichtlich,scontate,obvios,óbvio
modalization,opinion,meinung,avviso,postura,parecer
modalization,think,denken,riflettere,creer,pensar
modalization,power,macht,potere,de_energía,poder
modalization,possible,moeglich,fattibile,factible,possível
modalization,need,bedarf,necessitare,menester,precisar
modalization,predominate,vorherrschen,prevalere,predominar,predominar
modalization,presume,annehmen,presumere,presumir,presumir
modalization,search,suche,ricerca,búsqueda,procurar
modalization,likely,wahrscheinlich,verosimilmente,probable,provável
modalization,can,dose,essere_in_grado,bote,puder
modalization,real,wirklich,vero,de_verdad,real
modalization,recommend,empfehlen,raccomandare,aconsejar,recomendar
modalization,sure,sicher,certo,inequívoco,seguro
modalization,suppose,annehmen,supporre,presumir,supor
modalization,perhaps,vielleicht,magari,a_lo_mejor,talvez
modalization,has,hat,ha,tiene,tem
modalization,having,habend,avere,que_tiene,tendo
modalization,have,haben,avere,tener,ter
modalization,had,hatte,avere,tenía,tinha
modalization,i_had,ich_hatte,Ho_avuto,Yo_tenía,tive
modalization,truth,wahrheit,veridicità,verdad,verdade
modalization,decide,entscheiden,decidere,decidir,decidir
valoration,absolute,absolut,imprescindibile,categórico,absoluto
valoration,any,irgendeine,qualcuno,algo_de,algum
valoration,tall,hochgewachsen,alto,altas,alto
valoration,broad,breit,ampia,tía,amplo
valoration,approximate,ungefaehr,approssimato,aproximado,aproximado
valoration,quite_a_lot,ziemlich_viel,un_bel_po'.,bastante,bastante
valoration,good,gut,valido,bueno,bem
valoration,good,gut,valido,bueno,bom
valoration,emphatic,nachdruecklich,enfatico,categórico,categórico
valoration,fence,zaun,staccionata,vallado,cerca
valoration,complete,vollstaendig,completo,íntegro,completo
valoration,common,allgemein,diffuso,corriente,comum
valoration,considerable,betraechtlich,cospicuo,apreciable,considerável
valoration,constant,konstant,costante,ininterrumpido,constante
valoration,final,endspiel,definitivo,colofón,definitivo
valoration,too_much,zu_viel,troppo,demasiado,demais
valoration,high,hoch,elevati,elevado,elevado
valoration,huge,riesig,gigantesca,gigantesco,enorme
valoration,scarce,knapp,scarsa,escaso,escasso
valoration,special,speziell,particolare,especial,especial
valoration,strict,streng,severi,riguroso,estrito
valoration,possible,moeglich,fattibile,factible,eventual
valoration,exaggeration,uebertreibung,esagerazione,engrandecimiento,exagero
valoration,superb,superb,superlativo,soberbio,excelente
valoration,excessive,uebertrieben,eccessive,desmesurado,excessivo
valoration,exclusive,exklusiv,esclusiva,privativo,exclusivo
valoration,expressed,ausgedrueckt,formulata,expresado,expresso
valoration,extreme,extrem,estreme,extremas,extremo
valoration,happy,gluecklich,contenta,afortunado,feliz
valoration,frank,offen,sinceri,honesto,franco
valoration,frankness,offenheit,franchezza,franqueza,franqueza
valoration,frequent,haeufig,assiduo,frecuentar,frequente
valoration,widespread,weit_verbreitet,capillare,difundida,generalizado
valoration,general,allgemein,generale,generalizado,geral
valoration,big,groß,vasto,enorme,grande
valoration,immense,immens,immane,vasto,imenso
valoration,incredible,unglaublich,incredibile,increíbles,incrível
valoration,unfortunate,ungluecklich,deplorevole,desdichado,lamentável
valoration,light,licht,leggero,liviano,leve
valoration,majority,mehrheit,maggioranza,mayoritario,maioria
valoration,more,mehr,di_più,más,mais
valoration,evil,boese,malvagità,malvado,mal
valoration,better,besser,migliore,mejor,melhor
valoration,less,weniger,di_meno,menos,menos
valoration,mere,nur,mero,simple,mero
valoration,slightest,geringste,minima,mínimo,mínimo
valoration,minority,minderheit,minorità,minoritario,minoria
valoration,a_lot,oft,molto,mucho,muito
valoration,normal,normal,normale,habitual,normal
valoration,occasional,gelegentlich,saltuaria,esporádico,ocasional
valoration,great,großartig,fantastica,grandioso,ótimo
valoration,private,privat,privato,reservado,particular
valoration,pity,mitleid,commiserazione,lástima,pena
valoration,small,klein,modesto,banal,pequeno
valoration,sorrow,trauer,cordoglio,angustia,pesar
valoration,worst,am_schlimmsten,peggio,más_grave,pior
valoration,full,voll,completo,completo,pleno
valoration,poor,schlecht,povera,deficiente,pobre
valoration,little,wenig,piccolo,pequeño,pouco
valoration,very_little,sehr_wenig,molto_poco,muy_poco,pouquíssimo
valoration,practically,praktisch,praticamente,prácticamente,praticamente
valoration,pleasure,vergnuegen,godimento,delicia,prazer
valoration,precise,praezise,esatto,exactos,preciso
valoration,prefer,bevorzugen,prediligere,preferir,preferir
valoration,principal,auftraggeber,mandante,principal,principal
valoration,almost,fast,quasi,por_poco,quase
valoration,rare,selten,insolito,infrecuente,raro
valoration,reasonable,vernuenftig,sensata,asequible,razoável
valoration,relative,relativ,parente,pariente,relativo
valoration,rich,reich,facoltoso,acaudalado,rico
valoration,rigour,strenge,severità,severidad,rigor
valoration,ever,jemals,mai,jamás,sempre
valoration,significant,signifikant,significativo,apreciable,significativo
valoration,simple,einfach,semplice,sencillo,simples
valoration,so_much,so_sehr,tanto,tanto,tanto
valoration,so,so,di_modo_che,por_lo_que,tão
valoration,typical,typisch,tipico,típico,típico
valoration,full,voll,completo,completo,total
valoration,tremendous,riesig,tremenda,inmenso,tremenda
valoration,usual,ueblich,solito,corriente,usual
valoration,count,anzahl,computo,cómputo,valer
sentiment,shake,schuetteln,scossa,batir,abalar
sentiment,shoot_down,abschießen,abbattere,derribar,abater
sentiment,abhor,verabscheuen,aborto,aborrecer,abominar
sentiment,annoy,veraergern,seccatura,fastidiar,aborrecer
sentiment,soothe,beruhigen,lenire,calmar,acalmar
sentiment,coward,feigling,vigliacco,cobarde,acovardar
sentiment,admire,bewundern,ammirare,admirar,admirar
sentiment,worship,anbetung,venerazione,adoración,adorar
sentiment,afflict,belasten,afflitto,afligir,afligir
sentiment,stir,sich_bewegen,scalpore,conmoción,agitar
sentiment,alarm,alarm,sveglia,despertador,alarmar
sentiment,cheer,jubeln,tifo,ovación,alegrar
sentiment,hallucinate,halluzinieren,allucinato,alucinar,alucinar
sentiment,love,liebe,affetto,amor,amar
sentiment,aspire,streben,aspirare,aspirar,ambicionar
sentiment,frighten,erschrecken,spaventare,asustar,amedrontar
sentiment,grind,schleifen,routine,moler,amolar
sentiment,cheer,jubeln,tifo,ovación,animar
sentiment,terrify,erschrecken,terrorizzare,aterrorizar,apavorar
sentiment,appease,besaenftigen,calmarsi,apaciguar,apaziguar
sentiment,upset,veraergert,turbata,disgustado,apoquentar
sentiment,crowd,menge,schiera,apiñamiento,aporrinhar
sentiment,appreciate,schaetzen,rivalutarsi,agradecer,apreciar
sentiment,quiet,ruhig,quieta,sosegado,aquietar
sentiment,repent,bereuen,pentirsi,arrepentirse,arrepender
sentiment,haunt,lieblingsort,ritrovo,guarida,assombrar
sentiment,frighten,erschrecken,spaventare,asustar,assustar
sentiment,atazanar,atazanar,atazanar,atazanar,atazanar
sentiment,frighten,erschrecken,spaventare,asustar,atemorizar
sentiment,terrorize,terrorisieren,terrorizzare,aterrorizar,aterrorizar
sentiment,stir,sich_bewegen,scalpore,conmoción,atiçar
sentiment,stun,betaeuben,stordimento,aturdir,atordoar
sentiment,torment,quaelerei,supplizio,tormento,atormentar
sentiment,stun,betaeuben,stordimento,aturdir,aturdir
sentiment,azucrinar,azukrinar,azucrinaro,azucrinar,azucrinar
sentiment,annoy,veraergern,seccatura,fastidiar,chatear
sentiment,hatch,klappe,portello,escotilla,chocar
sentiment,covet,begehren,brama,codiciar,cobiçar
sentiment,shake,schuetteln,scossa,batir,comover
sentiment,comfort,komfort,conforto,consuelo,confortar
sentiment,confuse,verwirren,confondere,desconcertar,confundir
sentiment,comfort,komfort,conforto,consuelo,consolar
sentiment,constrain,einschraenken,costrizione,constreñir,constranger
sentiment,contemplate,nachdenken,contemplare,pensar,contemplar
sentiment,content,inhalt,tenore,contento,contentar
sentiment,contradict,widersprechen,smentire,contradecir,contrariar
sentiment,disturb,stoeren,disturbo,desordenar,conturbar
sentiment,enjoy,genießen,divertirsi,gozar,curtir
sentiment,weaken,abschwaechen,indebolirsi,socavar,debilitar
sentiment,let_down,enttaeuschen,deludere,defraudar,decepcionar
sentiment,depreciate,abschreiben,deprezzarsi,depreciarse,depreciar
sentiment,depress,niederdruecken,premere,reducir,deprimir
sentiment,disappoint,enttaeuschen,amareggiare,defraudar,desapontar
sentiment,displease,missfallen,malcontento,descontento,descontentar
sentiment,get_out_of_hand,außer_kontrolle_geraten,sfuggire_di_mano,irse_de_las_manos,descontrolar
sentiment,wish,wunsch,desiderio,anhelar,desejar
sentiment,disenchant,desillusionieren,disincanto,desengañar,desencantar
sentiment,discourage,entmutigen,scoraggiare,desanimar,desencorajar
sentiment,despair,verzweiflung,sconforto,desesperación,desesperar
sentiment,discourage,entmutigen,scoraggiare,desanimar,desestimular
sentiment,enjoy,genießen,divertirsi,gozar,desfrutar
sentiment,dislike,nicht_moegen,avversione,repugnancia,desgostar
sentiment,let_down,enttaeuschen,deludere,defraudar,desiludir
sentiment,disinterest,desinteresse,disinteresse,desinterés,desinteressar
sentiment,dazzle,blendend,abbagliamento,resplandor,deslumbrar
sentiment,disorientate,desorientieren,disorientare,desorientar,desorientar
sentiment,despise,verachten,disprezzo,despreciar,desprezar
sentiment,detest,verabscheuen,detest,detestar,detestar
sentiment,distract,ablenken,distrarsi,distraer,distrair
sentiment,thrill,nervenkitzel,ebbrezza,estremecimiento,emocionar
sentiment,excite,anregen,eccitarsi,suscitar,empolgar
sentiment,fall_in_love,sich_verlieben,innamorarsi,enamorarse,enamorar
sentiment,delight,freude,godimento,delicia,encantar
sentiment,encourage,ermutigen,incentivare,animar,encorajar
sentiment,indebtedness,verschuldung,indebitamento,endeudamiento,endividar
sentiment,annoy,veraergern,seccatura,fastidiar,enervar
sentiment,bewitch,verzaubern,strega,hechizar,enfeitiçar
sentiment,infuriate,wuetend_machen,infuriare,enfurecer,enfurecer
sentiment,deceive,taeuschen,imbrogliare,engañar,enganar
sentiment,rage,wut,imperversare,rabia,enraivecer
sentiment,bore,bohrung,foro,aburrir,entediar
sentiment,entertain,unterhalten,divertire,recibir,entreter
sentiment,sadden,traurig_machen,triste,entristecer,entristecer
sentiment,enthuse,sich_begeistern,entusiasmante,entusiasmar,entusiasmar
sentiment,embarrass,in_verlegenheit_bringen,imbarazzo,avergonzar,envergonhar
sentiment,scandalize,einen_skandal_hervorrufen,scandalizzare,escandalizar,escandalizar
sentiment,frighten_away,verscheuchen,spaventare_via,ahuyentar,espantar
sentiment,estimate,schaetzung,stima,valoración,estimar
sentiment,stimulate,anregen,incentivare,estimular,estimular
sentiment,odd,merkwuerdig,bizzarro,singular,estranhar
sentiment,exalt,verherrlichen,esaltare,exaltar,exaltar
sentiment,exasperate,veraergern,esasperata,exasperar,exasperar
sentiment,excite,anregen,eccitarsi,suscitar,excitar
sentiment,execute,ausfuehren,espletare,cumplir,execrar
sentiment,fascinate,faszinieren,affascinare,fascinar,fascinar
sentiment,frustrate,frustrieren,frustrato,frustrar,frustar
sentiment,like,wie,tipo,parecido_a,gostar
sentiment,enjoy,genießen,divertirsi,gozar,gozar
sentiment,grill,grill,griglia,parrilla,grilar
sentiment,harass,belaestigen,molestare,acosar,hostilizar
sentiment,idolize,vergoettern,idolatrare,idolatrar,idolatrar
sentiment,delude,taeuschen,illusione,engañar,iludir
sentiment,harass,belaestigen,molestare,acosar,importunar
sentiment,impress,beeindrucken,impressionare,impronta,impressionar
sentiment,bother,belaestigen,seccatura,preocuparse,incomodar
sentiment,indign,empoeren,indignarsi,indignar,indignar
sentiment,inhibit,hemmen,inibire,impedir,inibir
sentiment,upset,veraergert,turbata,disgustado,inquietar
sentiment,intimidate,einschuechtern,intimidire,amedrentar,intimidar
sentiment,intrigue,intrige,intrigo,conspirar,intrigar
sentiment,irar,irrar,ferro,iris,irar
sentiment,annoy,veraergern,seccatura,fastidiar,irritar
sentiment,mourn,trauern,piangere,estar_de_luto,lamentar
sentiment,lament,klage,lamento,lamentar,lastimar
sentiment,praise,lob,elogio,elogio,louvar
sentiment,hurt,verletzt,ferita,apesadumbrado,magoar
sentiment,malquerer,verleumder,malquerer,malquerer,malquerer
sentiment,marvel,wunder,prodigio,prodigio,maravilhar
sentiment,sore,wund,indolenzito,adolorido,melindrar
sentiment,belittle,herabsetzen,sminuire,restar,menosprezar
sentiment,obsess,besessen,ossessione,obsesionar,obcecar
sentiment,hate,hass,odio,odio,odiar
sentiment,offend,beleidigen,offendere,cometer_un_crimen,ofender
sentiment,amaze,verblueffen,stupire,asombrar,pasmar
sentiment,forgive,verzeihen,perdonare,perdonar,perdoar
sentiment,worry,sorge,preoccupazione,preocuparse,preocupar
sentiment,cherish,schaetzen,preziose,apreciar,prezar
sentiment,want,wollen,volere,deseo,querer
sentiment,repress,unterdruecken,reprimere,reprimir,recalcar
sentiment,be_afraid,angst_haben,avere_paura,tener_miedo,recear
sentiment,comfort,komfort,conforto,consuelo,reconfortar
sentiment,reject,ablehnen,scarto,marginado,rejeitar
sentiment,repel,abwehren,respingere,repelerse,repelir
sentiment,suppress,unterdruecken,reprimere,reprimir,reprimir
sentiment,repudiate,ablehnen,rinnegare,negar,repudiar
sentiment,respect,respekt,stima,respetar,respeitar
sentiment,worship,anbetung,venerazione,adoración,reverenciar
sentiment,revolt,revolte,insurrezione,sublevarse,revoltar
sentiment,seduce,verfuehren,sedurre,seducir,seduzir
sentiment,raise_awareness,bewusstseinsbildung,sensibilizzare_l'opinione_pubblica,sensibilizar,sensibilizar
sentiment,calm,ruhig,sereno,sosiego,serenar
sentiment,sympathize,mitfuehlen,simpatizzare,simpatizar,simpatizar
sentiment,settle_down,sich_beruhigen,stabilirsi,calmarse,sossegar
sentiment,underestimate,unterschaetzen,sottostima,subestimar,subestimar
sentiment,sublimate,sublimieren,sublimato,sublimar,sublimar
sentiment,overestimate,ueberbewerten,sopravvalutazione,sobrevaloración,superestimar
sentiment,amaze,verblueffen,stupire,asombrar,surpreender
sentiment,fear,angst,timore,temerse,temer
sentiment,tolerate,tolerieren,tollerare,aguantar,tolerar
sentiment,reassure,beruhigen,rassicurare,tranquilizar,tranquilizar
sentiment,upset,veraergert,turbata,disgustado,transtornar
sentiment,traumatize,traumatisieren,traumatizzare,traumatizar,traumatizar
sentiment,worship,anbetung,venerazione,adoración,venerar
pressuposition,guess,erraten,congettura,conjetura,adivinhar
pressuposition,admit,zugeben,ammettere,dejar_entrar,admitir
pressuposition,now,jetzt,adesso,ahora,agora
pressuposition,bear,baer,orso,dar_a_luz,aguentar
pressuposition,yet,dennoch,eppure,sin_embargo,ainda
pressuposition,beforehand,vorher,in_anticipo,de_antemano,antes
pressuposition,look_out,aufpassen,guardare_fuori,estar_atento,atentar
pressuposition,current,aktuell,vigente,corriente,atual
pressuposition,endure,ertragen,durare,aguantar,aturar
pressuposition,commence,beginnen,cominciare,comenzar,começar
pressuposition,comprehend,verstehen,comprendere,concebir,compreender
pressuposition,get,bekommen,diventare,conseguir,conseguir
pressuposition,note,hinweis,banconota,apuntar,constatar
pressuposition,carry_on,weitermachen,continuare,seguir_adelante,continuar
pressuposition,correct,richtig,esatta,correctos,corrigir
pressuposition,let,lassen,lasciare,dejar,deixar
pressuposition,demonstrate,demonstrieren,dimostrare,manifestar,demonstrar
pressuposition,discover,entdecken,scoprire,darse_cuenta_de,descobrir
pressuposition,excuse,entschuldigung,pretesto,disculpar,desculpar
pressuposition,since,da,poiché,puesto_que,desde
pressuposition,unravel,entwirren,dipanarsi,desentrañar,desvendar
pressuposition,detect,erkennen,individuare,notar,detectar
pressuposition,understand,verstehen,capire,imaginar,entender
pressuposition,see,sehen,vedere,sede,enxergar
pressuposition,arify,klaeren,chiarire,esclarecer,esclarecer
pressuposition,listen,zuhoeren,ascolto,prestar_atención,escutar
pressuposition,forget,vergessen,dimenticarsi,olvidar,esquecer
pressuposition,brag,prahlen,vantarsi,fanfarronear,gabar
pressuposition,ignore,ignorieren,ignorare,pasar_por_alto,ignorar
pressuposition,commence,beginnen,cominciare,comenzar,iniciar
pressuposition,interrupt,unterbrechen,interrompere,interrumpir,interromper
pressuposition,already,bereits,già,de_por_sí,já
pressuposition,remember,sich_erinnern,ricordare,acordarse,lembrar
pressuposition,moment,moment,attimo,ocasión,momento
pressuposition,notice,hinweis,avviso,letrero,notar
pressuposition,observe,beobachten,seguire,guardar,observar
pressuposition,look,aussehen,occhiata,aspecto,olhar
pressuposition,listen,zuhoeren,ascolto,prestar_atención,ouvir
pressuposition,stop,haltestelle,arrestarsi,detenerse,parar
pressuposition,perceive,wahrnehmen,avvertire,concebir,perceber
pressuposition,miss,verpassen,insuccesso,pasar_por_alto,perder
pressuposition,sense,sinn,accezione,sentir,pressentir
pressuposition,foresee,voraussehen,prevedere,prever,prever
pressuposition,acknowledge,bestaetigen,riconoscere,reconocer,reconhecer
pressuposition,recall,rueckruf,richiamo,retiro,recordar
pressuposition,repair,reparatur,riparazione,remediar,reparar
pressuposition,remove,entfernen,allontanare,quitar,retirar
pressuposition,unveil,enthuellen,svelare,descubrir,revelar
pressuposition,knowledge,wissen,consapevolezza,conocimiento,saber
pressuposition,feel,gefuehl,sensazione,estar,sentir
pressuposition,tolerate,tolerieren,tollerare,aguantar,tolerar
pressuposition,treat,leckerbissen,chicca,obsequiar,tratar
pressuposition,see,sehen,vedere,sede,ver
pressuposition,check,pruefen,assegno,chequeo,verificar
