lex,english,german,portuguese
argument,unless,es_sei_denn,menos_que
argument,until,bis,até
argument,were_it_not_for_that,ohne_das_waere_es_nicht_so,não_fosse_isso
argument,when,wann,quando
argument,while,waehrend,enquanto
argument,who,wer,que
argument,yet,dennoch,ainda
argument,yourself,selbst,se
modalization,advise,beraten,aconselhar
modalization,apparent,offensichtlich,aparente
modalization,basic,grundlegend,básico
modalization,believe,glauben,acreditar
modalization,can,dose,puder
modalization,clear-cut,klar_umrissen,claro
modalization,convenient,praktisch,conveniente
modalization,decide,entscheiden,decidir
modalization,deny,leugnen,negar
modalization,difficult,schwierig,difícil
modalization,doubt,zweifel,dúvida
modalization,duty,pflicht,dever
modalization,effective,effektiv,efetivo
modalization,evident,offenkundig,evidente
modalization,exact,genau,exato
modalization,expect,erwarten,esperar
modalization,fair,fair,justo
modalization,fundamental,fundamental,fundamental
modalization,had,hatte,tinha
modalization,has,hat,tem
modalization,have,haben,ter
modalization,have_faith_in,ueberlegen,crer
modalization,having,habend,tendo
modalization,i_had,ich_hatte,tive
modalization,imagine,sich_einbilden,imaginar
modalization,important,wichtig,importante
modalization,likely,wahrscheinlich,provável
modalization,limit,limit,limitar
modalization,logical,logisch,lógico
modalization,mandatory,obligatorisch,obrigatório
modalization,natural,natuerlich,natural
modalization,necessary,notwendig,necessário
modalization,need,bedarf,precisar
modalization,obvious,klar,óbvio
modalization,opinion,meinung,parecer
modalization,optional,optional,facultativo
modalization,perhaps,vielleicht,talvez
modalization,possible,moeglich,possível
modalization,power,macht,poder
modalization,predominate,vorherrschen,predominar
modalization,presume,annehmen,presumir
modalization,real,wirklich,real
modalization,recommend,empfehlen,recomendar
modalization,right,rechts,certo
modalization,search,suche,procurar
modalization,speak,sprechen,falar
modalization,suffice,ausreichen,bastar
modalization,suit,klage,fato
modalization,suppose,vermuten,supor
modalization,sure,sicher,seguro
modalization,think,denken,achar
modalization,truth,wahrheit,verdade
modalization,undeniable,unbestreitbar,inegável
modalization,undoubted,zweifellos,indubitável
pressuposition,acknowledge,bestaetigen,reconhecer
pressuposition,admit,zugeben,admitir
pressuposition,already,bereits,já
pressuposition,arify,klaeren,esclarecer
pressuposition,bear,baer,aguentar
pressuposition,beforehand,vorher,antes
pressuposition,brag,prahlen,gabar
pressuposition,carry_on,weitermachen,continuar
pressuposition,check,pruefen,verificar
pressuposition,commence,anfangen,iniciar
pressuposition,comprehend,verstehen,compreender
pressuposition,correct,richtig,corrigir
pressuposition,current,aktuell,atual
pressuposition,demonstrate,demonstrieren,demonstrar
pressuposition,detect,erkennen,detectar
pressuposition,discover,entdecken,descobrir
pressuposition,endure,ertragen,aturar
pressuposition,excuse,entschuldigung,desculpar
pressuposition,feel,gefuehl,sentir
pressuposition,foresee,voraussehen,prever
pressuposition,forget,vergessen,esquecer
pressuposition,get,bekommen,conseguir
pressuposition,guess,erraten,adivinhar
pressuposition,hear,zuhoeren,escutar
pressuposition,ignore,ignorieren,ignorar
pressuposition,initiate,beginnen,começar
pressuposition,interrupt,unterbrechen,interromper
pressuposition,knowledge,wissen,saber
pressuposition,let,lassen,deixar
pressuposition,listen,anhoeren,ouvir
pressuposition,look,aussehen,olhar
pressuposition,look_out,aufpassen,atentar
pressuposition,miss,verpassen,perder
pressuposition,moment,moment,momento
pressuposition,note,hinweis,constatar
pressuposition,notice,merken,notar
pressuposition,now,jetzt,agora
pressuposition,observe,beobachten,observar
pressuposition,perceive,wahrnehmen,perceber
pressuposition,recall,rueckruf,recordar
pressuposition,regard,sehen,enxergar
pressuposition,remember,sich_erinnern,lembrar
pressuposition,remove,entfernen,retirar
pressuposition,repair,reparatur,reparar
pressuposition,see,ansehen,ver
pressuposition,sense,sinn,pressentir
pressuposition,since,da,desde
pressuposition,stop,haltestelle,parar
pressuposition,tolerate,tolerieren,tolerar
pressuposition,treat,leckerbissen,tratar
pressuposition,understand,denken,entender
pressuposition,unravel,entwirren,desvendar
pressuposition,unveil,enthuellen,revelar
pressuposition,yet,dennoch,ainda
sentiment,abhor,verabscheuen,abominar
sentiment,admire,bewundern,admirar
sentiment,afflict,belasten,afligir
sentiment,agitate,sich_bewegen,agitar
sentiment,alarm,alarm,alarmar
sentiment,amaze,ueberraschen,surpreender
sentiment,annoy,argern,enervar
sentiment,appease,besaenftigen,apaziguar
sentiment,appreciate,schaetzen,apreciar
sentiment,aspire,streben,ambicionar
sentiment,astound,verblueffen,pasmar
sentiment,atazanar,atazanar,atazanar
sentiment,azucrinar,azukrinar,azucrinar
sentiment,be_afraid,angst_haben,recear
sentiment,belittle,herabsetzen,menosprezar
sentiment,bewitch,verzaubern,enfeitiçar
sentiment,bore,bohrung,entediar
sentiment,bother,aufregen,incomodar
sentiment,celebrate,jubeln,alegrar
sentiment,cherish,hoch_achten,prezar
sentiment,comfort,jammern,consolar
sentiment,confuse,verwirren,confundir
sentiment,constrain,einschraenken,constranger
sentiment,contemplate,nachdenken,contemplar
sentiment,content,inhalt,contentar
sentiment,contradict,widersprechen,contrariar
sentiment,covet,begehren,cobiçar
sentiment,coward,feigling,acovardar
sentiment,crowd,menge,aporrinhar
sentiment,dazzle,blendend,deslumbrar
sentiment,deceive,taeuschen,enganar
sentiment,delight,freude,encantar
sentiment,delude,truegen,iludir
sentiment,depreciate,abschreiben,depreciar
sentiment,depress,niederdruecken,deprimir
sentiment,despair,verzweiflung,desesperar
sentiment,despise,verachten,desprezar
sentiment,detest,hassen,detestar
sentiment,disappoint,enttaeuschung,desapontar
sentiment,discourage,abschrecken,desestimular
sentiment,disenchant,desillusionieren,desencantar
sentiment,disillusion,herunterlassen,desiludir
sentiment,disinterest,desinteresse,desinteressar
sentiment,dislike,nicht_moegen,desgostar
sentiment,disorientate,desorientieren,desorientar
sentiment,displease,missfallen,descontentar
sentiment,distract,ablenken,distrair
sentiment,disturb,stoeren,conturbar
sentiment,embarrass,in_verlegenheit_bringen,envergonhar
sentiment,encourage,ermutigen,encorajar
sentiment,enjoy,genießen,curtir
sentiment,entertain,unterhalten,entreter
sentiment,enthuse,sich_begeistern,entusiasmar
sentiment,estimate,schaetzung,estimar
sentiment,exalt,verherrlichen,exaltar
sentiment,exasperate,erbosen,exasperar
sentiment,excite,anregen,empolgar
sentiment,execute,ausfuehren,execrar
sentiment,fall_in_love,sich_verlieben,enamorar
sentiment,fascinate,faszinieren,fascinar
sentiment,fear,angst,temer
sentiment,forgive,verzeihen,perdoar
sentiment,frighten_away,verscheuchen,espantar
sentiment,frustrate,frustrieren,frustar
sentiment,fuss,veraergert,apoquentar
sentiment,get_out_of_hand,außer_kontrolle_geraten,descontrolar
sentiment,grill,grill,grilar
sentiment,grind,schleifen,amolar
sentiment,hallucinate,halluzinieren,alucinar
sentiment,harass,belaestigen,hostilizar
sentiment,hatch,klappe,chocar
sentiment,hate,hass,odiar
sentiment,haunt,lieblingsort,assombrar
sentiment,hurt,verletzt,magoar
sentiment,idolize,vergoettern,idolatrar
sentiment,impress,beeindrucken,impressionar
sentiment,indebtedness,verschuldung,endividar
sentiment,indign,empoeren,indignar
sentiment,infuriate,wuetend_machen,enfurecer
sentiment,inhibit,hemmen,inibir
sentiment,intimidate,einschuechtern,intimidar
sentiment,intrigue,intrige,intrigar
sentiment,irar,irrar,irar
sentiment,irritate,reizen,irritar
sentiment,lament,klage,lastimar
sentiment,let_down,enttaeuschen,decepcionar
sentiment,like,wie,gostar
sentiment,love,liebe,amar
sentiment,malquerer,verleumder,malquerer
sentiment,marvel,wunder,maravilhar
sentiment,mind,nerven,chatear
sentiment,mourn,trauern,lamentar
sentiment,obsess,besessen,obcecar
sentiment,odd,merkwuerdig,estranhar
sentiment,offend,beleidigen,ofender
sentiment,overestimate,ueberbewerten,superestimar
sentiment,overwhelm,schuetteln,abalar
sentiment,praise,lob,louvar
sentiment,quiet,ruhig,aquietar
sentiment,rage,wut,enraivecer
sentiment,raise_awareness,bewusstseinsbildung,sensibilizar
sentiment,reassure,versichern,tranquilizar
sentiment,reject,ablehnen,rejeitar
sentiment,repel,abwehren,repelir
sentiment,repent,bereuen,arrepender
sentiment,repress,unterdruecken,recalcar
sentiment,repudiate,verwerfen,repudiar
sentiment,respect,respekt,respeitar
sentiment,revere,durcheinanderbringen,transtornar
sentiment,revolt,revolte,revoltar
sentiment,sadden,traurig_machen,entristecer
sentiment,scandalize,einen_skandal_hervorrufen,escandalizar
sentiment,scare,aengstigen,assustar
sentiment,seduce,verfuehren,seduzir
sentiment,settle_down,sich_beruhigen,sossegar
sentiment,shake,ruehren,comover
sentiment,shoot_down,abschießen,abater
sentiment,soothe,beruhigen,acalmar
sentiment,sore,wund,melindrar
sentiment,stimulate,ermuntern,estimular
sentiment,stir,schueren,atiçar
sentiment,sublimate,sublimieren,sublimar
sentiment,suppress,zurueckhalten,reprimir
sentiment,sympathize,mitfuehlen,simpatizar
sentiment,terrify,angst_einjagen,apavorar
sentiment,terrorize,terrorisieren,aterrorizar
sentiment,thrill,nervenkitzel,emocionar
sentiment,tolerate,tolerieren,tolerar
sentiment,torment,quaelerei,atormentar
sentiment,traumatize,traumatisieren,traumatizar
sentiment,underestimate,unterschaetzen,subestimar
sentiment,upset,beunruhigen,inquietar
sentiment,venerate,ehren,reverenciar
sentiment,want,wollen,querer
sentiment,weaken,abschwaechen,debilitar
sentiment,wish,wunsch,desejar
sentiment,worry,sorge,preocupar
sentiment,worship,anbetung,adorar
valoration,absolute,absolut,absoluto
valoration,almost,fast,quase
valoration,a_lot,oft,muito
valoration,any,irgendeine,algum
valoration,approximate,ungefaehr,aproximado
valoration,better,besser,melhor
valoration,big,groß,grande
valoration,broad,breit,amplo
valoration,common,allgemein,comum
valoration,complete,vollstaendig,completo
valoration,considerable,betraechtlich,considerável
valoration,constant,konstant,constante
valoration,count,anzahl,valer
valoration,emphatic,nachdruecklich,categórico
valoration,ever,jemals,sempre
valoration,evil,boese,mal
valoration,exaggeration,uebertreibung,exagero
valoration,excessive,uebertrieben,excessivo
valoration,exclusive,exklusiv,exclusivo
valoration,expressed,ausgedrueckt,expresso
valoration,extreme,extrem,extremo
valoration,fence,zaun,cerca
valoration,final,endspiel,definitivo
valoration,frank,offen,franco
valoration,frankness,offenheit,franqueza
valoration,frequent,haeufig,frequente
valoration,full,voll,pleno
valoration,general,generell,geral
valoration,good,gut,bem
valoration,great,großartig,ótimo
valoration,happy,gluecklich,feliz
valoration,high,hoch,elevado
valoration,huge,riesig,enorme
valoration,immense,immens,imenso
valoration,incredible,unglaublich,incrível
valoration,less,weniger,menos
valoration,light,licht,leve
valoration,little,wenig,pouco
valoration,majority,mehrheit,maioria
valoration,mere,nur,mero
valoration,minority,minderheit,minoria
valoration,more,mehr,mais
valoration,nice,schön,bom
valoration,normal,normal,normal
valoration,occasional,gelegentlich,ocasional
valoration,pity,mitleid,pena
valoration,pleasure,vergnuegen,prazer
valoration,poor,schlecht,pobre
valoration,possible,moeglich,eventual
valoration,practically,praktisch,praticamente
valoration,precise,praezise,preciso
valoration,prefer,bevorzugen,preferir
valoration,principal,auftraggeber,principal
valoration,private,privat,particular
valoration,quite_a_lot,ziemlich_viel,bastante
valoration,rare,selten,raro
valoration,reasonable,vernuenftig,razoável
valoration,relative,relativ,relativo
valoration,rich,reich,rico
valoration,rigour,strenge,rigor
valoration,scarce,knapp,escasso
valoration,significant,signifikant,significativo
valoration,simple,einfach,simples
valoration,slightest,geringste,mínimo
valoration,small,klein,pequeno
valoration,so,so,tão
valoration,so_much,so_sehr,tanto
valoration,sorrow,trauer,pesar
valoration,special,speziell,especial
valoration,strict,streng,estrito
valoration,superb,superb,excelente
valoration,tall,hochgewachsen,alto
valoration,too_much,zu_viel,demais
valoration,total,ganze,total
valoration,tremendous,enorm,tremenda
valoration,typical,typisch,típico
valoration,unfortunate,ungluecklich,lamentável
valoration,usual,ueblich,usual
valoration,very_little,sehr_wenig,pouquíssimo
valoration,widespread,weit_verbreitet,generalizado
valoration,worst,am_schlimmsten,pior
