lex,english,german,portuguese
valoration,huge,riesig,enorme
valoration,scarce,knapp,escasso
valoration,special,speziell,especial
valoration,strict,streng,estrito
valoration,possible,moeglich,eventual
valoration,exaggeration,uebertreibung,exagero
valoration,superb,superb,excelente
valoration,excessive,uebertrieben,excessivo
valoration,exclusive,exklusiv,exclusivo
valoration,expressed,ausgedrueckt,expresso
valoration,extreme,extrem,extremo
valoration,happy,gluecklich,feliz
valoration,frank,offen,franco
valoration,frankness,offenheit,franqueza
valoration,frequent,haeufig,frequente
valoration,widespread,weit_verbreitet,generalizado
valoration,general,allgemein,geral
valoration,big,groß,grande
valoration,immense,immens,imenso
valoration,incredible,unglaublich,incrível
valoration,unfortunate,ungluecklich,lamentável
valoration,light,licht,leve
valoration,majority,mehrheit,maioria
valoration,more,mehr,mais
valoration,evil,boese,mal
valoration,better,besser,melhor
valoration,less,weniger,menos
valoration,mere,nur,mero
valoration,slightest,geringste,mínimo
valoration,minority,minderheit,minoria
valoration,a_lot,oft,muito
valoration,normal,normal,normal
valoration,occasional,gelegentlich,ocasional
valoration,great,großartig,ótimo
valoration,private,privat,particular
valoration,pity,mitleid,pena
valoration,small,klein,pequeno
valoration,sorrow,trauer,pesar
valoration,worst,am_schlimmsten,pior
valoration,full,voll,pleno
valoration,poor,schlecht,pobre
valoration,little,wenig,pouco
valoration,very_little,sehr_wenig,pouquíssimo
valoration,practically,praktisch,praticamente
valoration,pleasure,vergnuegen,prazer
valoration,precise,praezise,preciso
valoration,prefer,bevorzugen,preferir
valoration,principal,auftraggeber,principal
valoration,almost,fast,quase
valoration,rare,selten,raro
valoration,reasonable,vernuenftig,razoável
valoration,relative,relativ,relativo
valoration,rich,reich,rico
valoration,rigour,strenge,rigor
valoration,ever,jemals,sempre
valoration,significant,signifikant,significativo
valoration,simple,einfach,simples
valoration,so_much,so_sehr,tanto
valoration,so,so,tão
valoration,typical,typisch,típico
valoration,full,voll,total
valoration,tremendous,riesig,tremenda
valoration,usual,ueblich,usual
valoration,count,anzahl,valer
sentiment,shake,schuetteln,abalar
sentiment,shoot_down,abschießen,abater
sentiment,abhor,verabscheuen,abominar
sentiment,annoy,veraergern,aborrecer
sentiment,soothe,beruhigen,acalmar
sentiment,coward,feigling,acovardar
sentiment,admire,bewundern,admirar
sentiment,worship,anbetung,adorar
sentiment,afflict,belasten,afligir
sentiment,stir,sich_bewegen,agitar
sentiment,alarm,alarm,alarmar
sentiment,cheer,jubeln,alegrar
sentiment,hallucinate,halluzinieren,alucinar
sentiment,love,liebe,amar
sentiment,aspire,streben,ambicionar
sentiment,frighten,erschrecken,amedrontar
sentiment,grind,schleifen,amolar
sentiment,cheer,jubeln,animar
sentiment,terrify,erschrecken,apavorar
sentiment,appease,besaenftigen,apaziguar
sentiment,upset,veraergert,apoquentar
sentiment,crowd,menge,aporrinhar
sentiment,appreciate,schaetzen,apreciar
sentiment,quiet,ruhig,aquietar
sentiment,repent,bereuen,arrepender
sentiment,haunt,lieblingsort,assombrar
sentiment,frighten,erschrecken,assustar
sentiment,atazanar,atazanar,atazanar
sentiment,frighten,erschrecken,atemorizar
sentiment,terrorize,terrorisieren,aterrorizar
sentiment,stir,sich_bewegen,atiçar
sentiment,stun,betaeuben,atordoar
sentiment,torment,quaelerei,atormentar
sentiment,stun,betaeuben,aturdir
sentiment,azucrinar,azukrinar,azucrinar
sentiment,annoy,veraergern,chatear
sentiment,hatch,klappe,chocar
sentiment,covet,begehren,cobiçar
sentiment,shake,schuetteln,comover
sentiment,comfort,komfort,confortar
sentiment,confuse,verwirren,confundir
sentiment,comfort,komfort,consolar
sentiment,constrain,einschraenken,constranger
sentiment,contemplate,nachdenken,contemplar
sentiment,content,inhalt,contentar
sentiment,contradict,widersprechen,contrariar
sentiment,disturb,stoeren,conturbar
sentiment,enjoy,genießen,curtir
sentiment,weaken,abschwaechen,debilitar
sentiment,let_down,enttaeuschen,decepcionar
sentiment,depreciate,abschreiben,depreciar
sentiment,depress,niederdruecken,deprimir
sentiment,disappoint,enttaeuschen,desapontar
sentiment,displease,missfallen,descontentar
sentiment,get_out_of_hand,außer_kontrolle_geraten,descontrolar
sentiment,wish,wunsch,desejar
sentiment,disenchant,desillusionieren,desencantar
sentiment,discourage,entmutigen,desencorajar
sentiment,despair,verzweiflung,desesperar
sentiment,discourage,entmutigen,desestimular
sentiment,enjoy,genießen,desfrutar
sentiment,dislike,nicht_moegen,desgostar
sentiment,let_down,enttaeuschen,desiludir
sentiment,disinterest,desinteresse,desinteressar
sentiment,dazzle,blendend,deslumbrar
sentiment,disorientate,desorientieren,desorientar
sentiment,despise,verachten,desprezar
sentiment,detest,verabscheuen,detestar
sentiment,distract,ablenken,distrair
sentiment,thrill,nervenkitzel,emocionar
sentiment,excite,anregen,empolgar
sentiment,fall_in_love,sich_verlieben,enamorar
sentiment,delight,freude,encantar
sentiment,encourage,ermutigen,encorajar
sentiment,indebtedness,verschuldung,endividar
sentiment,annoy,veraergern,enervar
sentiment,bewitch,verzaubern,enfeitiçar
sentiment,infuriate,wuetend_machen,enfurecer
sentiment,deceive,taeuschen,enganar
sentiment,rage,wut,enraivecer
sentiment,bore,bohrung,entediar
sentiment,entertain,unterhalten,entreter
sentiment,sadden,traurig_machen,entristecer
sentiment,enthuse,sich_begeistern,entusiasmar
sentiment,embarrass,in_verlegenheit_bringen,envergonhar
sentiment,scandalize,einen_skandal_hervorrufen,escandalizar
sentiment,frighten_away,verscheuchen,espantar
sentiment,estimate,schaetzung,estimar
sentiment,stimulate,anregen,estimular
sentiment,odd,merkwuerdig,estranhar
sentiment,exalt,verherrlichen,exaltar
sentiment,exasperate,veraergern,exasperar
sentiment,excite,anregen,excitar
sentiment,execute,ausfuehren,execrar
sentiment,fascinate,faszinieren,fascinar
sentiment,frustrate,frustrieren,frustar
sentiment,like,wie,gostar
sentiment,enjoy,genießen,gozar
sentiment,grill,grill,grilar
sentiment,harass,belaestigen,hostilizar
sentiment,idolize,vergoettern,idolatrar
sentiment,delude,taeuschen,iludir
sentiment,harass,belaestigen,importunar
sentiment,impress,beeindrucken,impressionar
sentiment,bother,belaestigen,incomodar
sentiment,indign,empoeren,indignar
sentiment,inhibit,hemmen,inibir
sentiment,upset,veraergert,inquietar
sentiment,intimidate,einschuechtern,intimidar
sentiment,intrigue,intrige,intrigar
sentiment,irar,irrar,irar
sentiment,annoy,veraergern,irritar
sentiment,mourn,trauern,lamentar
sentiment,lament,klage,lastimar
sentiment,praise,lob,louvar
sentiment,hurt,verletzt,magoar
sentiment,malquerer,verleumder,malquerer
sentiment,marvel,wunder,maravilhar
sentiment,sore,wund,melindrar
sentiment,belittle,herabsetzen,menosprezar
sentiment,obsess,besessen,obcecar
sentiment,hate,hass,odiar
sentiment,offend,beleidigen,ofender
sentiment,amaze,verblueffen,pasmar
sentiment,forgive,verzeihen,perdoar
sentiment,worry,sorge,preocupar
sentiment,cherish,schaetzen,prezar
sentiment,want,wollen,querer
sentiment,repress,unterdruecken,recalcar
sentiment,be_afraid,angst_haben,recear
sentiment,comfort,komfort,reconfortar
sentiment,reject,ablehnen,rejeitar
sentiment,repel,abwehren,repelir
sentiment,suppress,unterdruecken,reprimir
sentiment,repudiate,ablehnen,repudiar
sentiment,respect,respekt,respeitar
sentiment,worship,anbetung,reverenciar
sentiment,revolt,revolte,revoltar
sentiment,seduce,verfuehren,seduzir
sentiment,raise_awareness,bewusstseinsbildung,sensibilizar
sentiment,calm,ruhig,serenar
sentiment,sympathize,mitfuehlen,simpatizar
sentiment,settle_down,sich_beruhigen,sossegar
sentiment,underestimate,unterschaetzen,subestimar
sentiment,sublimate,sublimieren,sublimar
sentiment,overestimate,ueberbewerten,superestimar
sentiment,amaze,verblueffen,surpreender
sentiment,fear,angst,temer
sentiment,tolerate,tolerieren,tolerar
sentiment,reassure,beruhigen,tranquilizar
sentiment,upset,veraergert,transtornar
sentiment,traumatize,traumatisieren,traumatizar
sentiment,worship,anbetung,venerar
pressuposition,guess,erraten,adivinhar
pressuposition,admit,zugeben,admitir
pressuposition,now,jetzt,agora
pressuposition,bear,baer,aguentar
pressuposition,yet,dennoch,ainda
pressuposition,beforehand,vorher,antes
pressuposition,look_out,aufpassen,atentar
pressuposition,current,aktuell,atual
pressuposition,endure,ertragen,aturar
pressuposition,commence,beginnen,começar
pressuposition,comprehend,verstehen,compreender
pressuposition,get,bekommen,conseguir
pressuposition,note,hinweis,constatar
pressuposition,carry_on,weitermachen,continuar
pressuposition,correct,richtig,corrigir
pressuposition,let,lassen,deixar
pressuposition,demonstrate,demonstrieren,demonstrar
pressuposition,discover,entdecken,descobrir
pressuposition,excuse,entschuldigung,desculpar
pressuposition,since,da,desde
pressuposition,unravel,entwirren,desvendar
pressuposition,detect,erkennen,detectar
pressuposition,understand,verstehen,entender
pressuposition,see,sehen,enxergar
pressuposition,arify,klaeren,esclarecer
pressuposition,listen,zuhoeren,escutar
pressuposition,forget,vergessen,esquecer
pressuposition,brag,prahlen,gabar
pressuposition,ignore,ignorieren,ignorar
pressuposition,commence,beginnen,iniciar
pressuposition,interrupt,unterbrechen,interromper
pressuposition,already,bereits,já
pressuposition,remember,sich_erinnern,lembrar
pressuposition,moment,moment,momento
pressuposition,notice,hinweis,notar
pressuposition,observe,beobachten,observar
pressuposition,look,aussehen,olhar
pressuposition,listen,zuhoeren,ouvir
pressuposition,stop,haltestelle,parar
pressuposition,perceive,wahrnehmen,perceber
pressuposition,miss,verpassen,perder
pressuposition,sense,sinn,pressentir
pressuposition,foresee,voraussehen,prever
pressuposition,acknowledge,bestaetigen,reconhecer
pressuposition,recall,rueckruf,recordar
pressuposition,repair,reparatur,reparar
pressuposition,remove,entfernen,retirar
pressuposition,unveil,enthuellen,revelar
pressuposition,knowledge,wissen,saber
pressuposition,feel,gefuehl,sentir
pressuposition,tolerate,tolerieren,tolerar
pressuposition,treat,leckerbissen,tratar
pressuposition,see,sehen,ver
pressuposition,check,pruefen,verificar
